Row,Column,value
-11.62680327,-9.34712302,1.344137922
-11.62680327,-9.02560728,1.429286156
-11.62680327,-8.70409154,1.516124682
-11.62680327,-8.3825758,1.604653499
-11.62680327,-8.06106006,1.694872606
-11.62680327,-7.73954432,1.786782005
-11.62680327,-7.41802858,1.880381695
-11.62680327,-7.09651284,1.975671675
-11.62680327,-6.7749971,2.072651947
-11.62680327,-6.45348136,2.171322509
-11.62680327,-6.13196562,2.271683363
-11.62680327,-5.81044988,2.373734508
-11.62680327,-5.48893414,2.477475943
-11.62680327,-5.1674184,2.58290767
-11.62680327,-4.84590266,2.690029687
-11.62680327,-4.52438692,2.798841996
-11.62680327,-4.20287118,2.909344596
-11.62680327,-3.88135544,3.021537486
-11.62680327,-3.5598397,3.135420668
-11.62680327,-3.23832396,3.25099414
-11.62680327,-2.91680822,3.368257904
-11.62680327,-2.59529248,3.487211958
-11.62680327,-2.27377674,3.607856304
-11.62680327,-1.952261,3.73019094
-11.62680327,-1.63074526,3.854215868
-11.62680327,-1.30922952,3.979931086
-11.62680327,-0.98771378,4.075661971
-11.62680327,-0.66619804,4.167356122
-11.62680327,-0.3446823,4.260398792
-11.62680327,-0.02316656,4.355169476
-11.62680327,0.29834918,4.4521302
-11.62680327,0.61986492,4.551946299
-11.62680327,0.94138066,4.655374984
-11.62680327,1.2628964,4.762847434
-11.62680327,1.58441214,4.874746915
-11.62680327,1.90592788,4.989459914
-11.62680327,2.22744362,5.092738025
-11.62680327,2.54895936,5.17801204
-11.62680327,2.8704751,5.244853821
-11.62680327,3.19199084,5.251500833
-11.62680327,3.51350658,5.346098905
-11.62680327,3.83502232,5.896540481
-11.62680327,4.15653806,6.550221899
-11.62680327,4.4780538,6.400737455
-11.62680327,4.79956954,6.374535058
-11.62680327,5.12108528,6.217277081
-11.62680327,5.44260102,6.093141096
-11.62680327,5.76411676,6.002127102
-11.62680327,6.0856325,5.944235099
-11.62680327,6.40714824,5.919465088
-11.62680327,6.72866398,5.927817067
-11.62680327,7.05017972,5.969291039
-11.62680327,7.37169546,6.043887001
-11.62680327,7.6932112,6.151604955
-11.62680327,8.01472694,6.2924449
-11.62680327,8.33624268,6.466406837
-11.62680327,8.65775842,6.673490765
-11.62680327,8.97927416,6.913696684
-11.62680327,9.3007899,7.187024595
-11.62680327,9.62230564,7.493474496
-11.62680327,9.94382138,7.83304639
-11.62680327,10.26533712,8.205740274
-11.62680327,10.58685286,8.61155615
-11.62680327,10.9083686,9.050494017
-11.62680327,11.22988434,9.522553876
-11.62680327,11.55140008,10.02773573
-11.62680327,11.87291582,10.56603957
-11.62680327,12.19443156,11.1374654
-11.62680327,12.5159473,11.74201322
-11.62680327,12.83746304,12.37968304
-11.62680327,13.15897878,13.05047484
-11.62680327,13.48049452,13.75438864
-11.62680327,13.80201026,14.49142443
-11.62680327,14.123526,15.26158221
-11.46523853,-18.028048,1.667984922
-11.46523853,-17.70653226,-0.877856687
-11.46523853,-17.38501652,-0.476294595
-11.46523853,-17.06350078,-0.153017895
-11.46523853,-16.74198504,0.091973411
-11.46523853,-16.4204693,0.258679323
-11.46523853,-16.09895356,0.347099842
-11.46523853,-15.77743782,0.357234967
-11.46523853,-15.45592208,0.289084699
-11.46523853,-15.13440634,0.142649037
-11.46523853,-14.8128906,-0.061302106
-11.46523853,-14.49137486,-0.035871287
-11.46523853,-14.16985912,0.036139098
-11.46523853,-13.84834338,0.109839774
-11.46523853,-13.52682764,0.185230742
-11.46523853,-13.2053119,0.262312
-11.46523853,-12.88379616,0.341083549
-11.46523853,-12.56228042,0.421545389
-11.46523853,-12.24076468,0.50369752
-11.46523853,-11.91924894,0.587539942
-11.46523853,-11.5977332,0.673072656
-11.46523853,-11.27621746,0.76029566
-11.46523853,-10.95470172,0.849208955
-11.46523853,-10.63318598,0.939812541
-11.46523853,-10.31167024,1.032106418
-11.46523853,-9.9901545,1.126090586
-11.46523853,-9.66863876,1.221765045
-11.46523853,-9.34712302,1.319129795
-11.46523853,-9.02560728,1.418184836
-11.46523853,-8.70409154,1.518930168
-11.46523853,-8.3825758,1.621365791
-11.46523853,-8.06106006,1.725491706
-11.46523853,-7.73954432,1.831307911
-11.46523853,-7.41802858,1.938814407
-11.46523853,-7.09651284,2.048011194
-11.46523853,-6.7749971,2.158898272
-11.46523853,-6.45348136,2.263657103
-11.46523853,-6.13196562,2.353099011
-11.46523853,-5.81044988,2.442362029
-11.46523853,-5.48893414,2.531452193
-11.46523853,-5.1674184,2.620382321
-11.46523853,-4.84590266,2.709175084
-11.46523853,-4.52438692,2.797867234
-11.46523853,-4.20287118,2.886515504
-11.46523853,-3.88135544,2.975204469
-11.46523853,-3.5598397,3.064056496
-11.46523853,-3.23832396,3.153251715
-11.46523853,-2.91680822,3.243042482
-11.46523853,-2.59529248,3.333572166
-11.46523853,-2.27377674,3.424921321
-11.46523853,-1.952261,3.517370685
-11.46523853,-1.63074526,3.61123076
-11.46523853,-1.30922952,3.706765231
-11.46523853,-0.98771378,3.804338701
-11.46523853,-0.66619804,3.904474889
-11.46523853,-0.3446823,4.008030898
-11.46523853,-0.02316656,4.11558742
-11.46523853,0.29834918,4.227987977
-11.46523853,0.61986492,4.346751228
-11.46523853,0.94138066,4.473201934
-11.46523853,1.2628964,4.607425692
-11.46523853,1.58441214,4.749424831
-11.46523853,1.90592788,4.891846587
-11.46523853,2.22744362,4.977230682
-11.46523853,2.54895936,4.992821021
-11.46523853,2.8704751,4.982638885
-11.46523853,3.19199084,5.038603192
-11.46523853,3.51350658,5.502842002
-11.46523853,3.83502232,6.225402755
-11.46523853,4.15653806,6.992900014
-11.46523853,4.4780538,6.68866779
-11.46523853,4.79956954,6.529881924
-11.46523853,5.12108528,6.368232737
-11.46523853,5.44260102,6.23970554
-11.46523853,5.76411676,6.144300335
-11.46523853,6.0856325,6.082017121
-11.46523853,6.40714824,6.052855899
-11.46523853,6.72866398,6.056816667
-11.46523853,7.05017972,6.093899428
-11.46523853,7.37169546,6.164104179
-11.46523853,7.6932112,6.267430922
-11.46523853,8.01472694,6.403879656
-11.46523853,8.33624268,6.573450382
-11.46523853,8.65775842,6.776143098
-11.46523853,8.97927416,7.011957807
-11.46523853,9.3007899,7.280894506
-11.46523853,9.62230564,7.582953197
-11.46523853,9.94382138,7.918133879
-11.46523853,10.26533712,8.286436552
-11.46523853,10.58685286,8.687861217
-11.46523853,10.9083686,9.122407873
-11.46523853,11.22988434,9.590076521
-11.46523853,11.55140008,10.09086716
-11.46523853,11.87291582,10.62477979
-11.46523853,12.19443156,11.19181441
-11.46523853,12.5159473,11.79197102
-11.46523853,12.83746304,12.42524963
-11.46523853,13.15897878,13.09165022
-11.46523853,13.48049452,13.79117281
-11.46523853,13.80201026,14.52381739
-11.46523853,14.123526,15.28958396
-11.3036738,-18.028048,3.696808901
